id,category,arm,repeat,wall_s,server_prompt_ms,server_predicted_ms,http_calls,scoring_calls,chunk_calls,wasted_tokens,tokens,held_fraction,divergences,correct,analytic_speedup
code-fix-sort-order-bug,code_review,baseline,0,2.8283,16.3,2811.37,1,0,0,0,176,,,pass,1.0
code-fix-sort-order-bug,code_review,"entropy_floor:tau=3.0,floor=1.0",0,3.6231,596.16,2953.3,8,1,7,0,142,0.0493,2,pass,0.9793
code-fix-sort-order-bug,code_review,"redraft:entropy_floor:tau=3.0,floor=1.0",0,2.3196,7.87,2310.88,1,0,0,0,192,0.3229,3,pass,
code-fix-sort-order-bug,code_review,baseline,1,2.8123,19.01,2792.58,1,0,0,0,176,,,pass,1.0
code-fix-sort-order-bug,code_review,"entropy_floor:tau=3.0,floor=1.0",1,3.6101,578.51,2959.02,8,1,7,0,142,0.0493,2,pass,0.9793
code-fix-sort-order-bug,code_review,"redraft:entropy_floor:tau=3.0,floor=1.0",1,2.3641,7.71,2355.59,1,0,0,0,192,0.3229,3,pass,
code-fix-sort-order-bug,code_review,baseline,2,2.8542,19.16,2834.15,1,0,0,0,176,,,pass,1.0
code-fix-sort-order-bug,code_review,"entropy_floor:tau=3.0,floor=1.0",2,3.6527,590.74,2988.73,8,1,7,0,142,0.0493,2,pass,0.9793
code-fix-sort-order-bug,code_review,"redraft:entropy_floor:tau=3.0,floor=1.0",2,2.4097,7.7,2401.26,1,0,0,0,192,0.3229,3,pass,
code-fix-dedupe-condition-bug,code_review,baseline,0,2.8056,18.76,2786.07,1,0,0,0,174,,,pass,1.0
code-fix-dedupe-condition-bug,code_review,"entropy_floor:tau=3.0,floor=1.0",0,3.5105,587.65,2850.81,8,1,7,0,134,0.0149,1,pass,0.9781
code-fix-dedupe-condition-bug,code_review,"redraft:entropy_floor:tau=3.0,floor=1.0",0,2.2376,5.58,2231.16,1,0,0,0,133,0.015,1,pass,
code-fix-dedupe-condition-bug,code_review,baseline,1,3.4676,19.06,3447.82,1,0,0,0,215,,,pass,1.0
code-fix-dedupe-condition-bug,code_review,"entropy_floor:tau=3.0,floor=1.0",1,3.5121,583.91,2854.74,8,1,7,0,134,0.0149,1,pass,0.9781
code-fix-dedupe-condition-bug,code_review,"redraft:entropy_floor:tau=3.0,floor=1.0",1,2.2578,7.93,2249.0,1,0,0,0,133,0.015,1,pass,
code-fix-dedupe-condition-bug,code_review,baseline,2,3.4941,19.8,3473.52,1,0,0,0,215,,,pass,1.0
code-fix-dedupe-condition-bug,code_review,"entropy_floor:tau=3.0,floor=1.0",2,3.5328,583.65,2875.61,8,1,7,0,134,0.0149,1,pass,0.9781
code-fix-dedupe-condition-bug,code_review,"redraft:entropy_floor:tau=3.0,floor=1.0",2,2.2681,4.83,2262.61,1,0,0,0,133,0.015,1,pass,
doc-change-decade,doc_summary,baseline,0,1.2097,18.84,1190.19,1,0,0,0,75,,,pass,1.0
doc-change-decade,doc_summary,"entropy_floor:tau=3.0,floor=1.0",0,0.8908,792.61,69.31,3,2,1,0,72,0.9444,1,pass,5.5385
doc-change-decade,doc_summary,"redraft:entropy_floor:tau=3.0,floor=1.0",0,0.1989,4.56,193.6,1,0,0,0,72,0.9444,1,pass,
doc-change-decade,doc_summary,baseline,1,1.1623,18.81,1142.85,1,0,0,0,73,,,pass,1.0
doc-change-decade,doc_summary,"entropy_floor:tau=3.0,floor=1.0",1,0.8773,780.11,68.46,3,2,1,0,72,0.9444,1,pass,5.5385
doc-change-decade,doc_summary,"redraft:entropy_floor:tau=3.0,floor=1.0",1,0.1981,4.46,192.84,1,0,0,0,72,0.9444,1,pass,
doc-change-decade,doc_summary,baseline,2,1.1476,18.46,1128.46,1,0,0,0,73,,,pass,1.0
doc-change-decade,doc_summary,"entropy_floor:tau=3.0,floor=1.0",2,0.8822,784.75,68.27,3,2,1,0,72,0.9444,1,pass,5.5385
doc-change-decade,doc_summary,"redraft:entropy_floor:tau=3.0,floor=1.0",2,0.1965,4.5,191.32,1,0,0,0,72,0.9444,1,pass,
