id,category,rule,tokens,held_fraction,divergences,forward_passes,speedup,naive_salvage,correct,http_calls,chunk_calls,wasted_tokens
code-fix-sort-order-bug,code_review,entropy_scaled:tau=1.75,101,0.198,5,97,1.0412,0.4624,pass,6,5,0
code-fix-sort-order-bug,code_review,entropy_scaled:tau=2.0,101,0.198,5,97,1.0412,0.4624,pass,6,5,0
code-fix-sort-order-bug,code_review,entropy_scaled:tau=2.25,101,0.198,5,97,1.0412,0.4624,pass,6,5,0
code-fix-sort-order-bug,code_review,entropy_scaled:tau=2.5,101,0.198,5,97,1.0412,0.4624,pass,6,5,0
code-fix-sort-order-bug,code_review,entropy_scaled:tau=2.75,101,0.198,5,97,1.0412,0.4624,pass,6,5,0
code-fix-sort-order-bug,code_review,entropy_scaled:tau=3.0,101,0.198,5,97,1.0412,0.4624,pass,6,5,0
code-fix-sort-order-bug,code_review,"entropy_floor:tau=2.0,floor=0.5",101,0.198,5,97,1.0412,0.4624,pass,6,5,0
code-fix-sort-order-bug,code_review,"entropy_floor:tau=2.0,floor=1.0",101,0.198,5,97,1.0412,0.4624,pass,6,5,0
code-fix-sort-order-bug,code_review,"entropy_floor:tau=2.5,floor=0.75",101,0.198,5,97,1.0412,0.4624,pass,6,5,0
code-fix-sort-order-bug,code_review,"entropy_floor:tau=3.0,floor=0.5",101,0.198,5,97,1.0412,0.4624,pass,6,5,0
code-fix-sort-order-bug,code_review,"entropy_floor:tau=3.0,floor=1.0",101,0.198,5,97,1.0412,0.4624,pass,6,5,0
code-fix-sort-order-bug,code_review,"gated_entropy:tau=2.0,p_cut=0.8",101,0.198,5,97,1.0412,0.4624,pass,6,5,0
code-fix-sort-order-bug,code_review,"gated_entropy:tau=2.0,p_cut=0.9",101,0.198,5,97,1.0412,0.4624,pass,6,5,0
code-fix-sort-order-bug,code_review,"gated_entropy:tau=3.0,p_cut=0.9",101,0.198,5,97,1.0412,0.4624,pass,6,5,0
code-fix-dedupe-condition-bug,code_review,entropy_scaled:tau=1.75,18,0.1667,1,20,0.9,0.0,pass,4,3,0
code-fix-dedupe-condition-bug,code_review,entropy_scaled:tau=2.0,18,0.1667,1,20,0.9,0.0,pass,4,3,0
code-fix-dedupe-condition-bug,code_review,entropy_scaled:tau=2.25,18,0.1667,1,20,0.9,0.0,pass,4,3,0
code-fix-dedupe-condition-bug,code_review,entropy_scaled:tau=2.5,18,0.1667,1,20,0.9,0.0,pass,4,3,0
code-fix-dedupe-condition-bug,code_review,entropy_scaled:tau=2.75,18,0.1667,1,20,0.9,0.0,pass,4,3,0
code-fix-dedupe-condition-bug,code_review,entropy_scaled:tau=3.0,18,0.1667,1,20,0.9,0.0,pass,4,3,0
code-fix-dedupe-condition-bug,code_review,"entropy_floor:tau=2.0,floor=0.5",18,0.1667,1,20,0.9,0.0,pass,4,3,0
code-fix-dedupe-condition-bug,code_review,"entropy_floor:tau=2.0,floor=1.0",18,0.1667,1,20,0.9,0.0,pass,4,3,0
code-fix-dedupe-condition-bug,code_review,"entropy_floor:tau=2.5,floor=0.75",18,0.1667,1,20,0.9,0.0,pass,4,3,0
code-fix-dedupe-condition-bug,code_review,"entropy_floor:tau=3.0,floor=0.5",18,0.1667,1,20,0.9,0.0,pass,4,3,0
code-fix-dedupe-condition-bug,code_review,"entropy_floor:tau=3.0,floor=1.0",18,0.1667,1,20,0.9,0.0,pass,4,3,0
code-fix-dedupe-condition-bug,code_review,"gated_entropy:tau=2.0,p_cut=0.8",18,0.1667,1,20,0.9,0.0,pass,4,3,0
code-fix-dedupe-condition-bug,code_review,"gated_entropy:tau=2.0,p_cut=0.9",18,0.1667,1,20,0.9,0.0,pass,4,3,0
code-fix-dedupe-condition-bug,code_review,"gated_entropy:tau=3.0,p_cut=0.9",18,0.1667,1,20,0.9,0.0,pass,4,3,0
doc-change-decade,doc_summary,entropy_scaled:tau=1.75,76,0.9474,1,14,5.4286,0.9868,pass,3,1,0
doc-change-decade,doc_summary,entropy_scaled:tau=2.0,76,0.9474,1,14,5.4286,0.9868,pass,3,1,0
doc-change-decade,doc_summary,entropy_scaled:tau=2.25,76,0.9474,1,14,5.4286,0.9868,pass,3,1,0
doc-change-decade,doc_summary,entropy_scaled:tau=2.5,76,0.9474,1,14,5.4286,0.9868,pass,3,1,0
doc-change-decade,doc_summary,entropy_scaled:tau=2.75,76,0.9474,1,14,5.4286,0.9868,pass,3,1,0
doc-change-decade,doc_summary,entropy_scaled:tau=3.0,76,0.9474,1,14,5.4286,0.9868,pass,3,1,0
doc-change-decade,doc_summary,"entropy_floor:tau=2.0,floor=0.5",76,0.9474,1,14,5.4286,0.9868,pass,3,1,0
doc-change-decade,doc_summary,"entropy_floor:tau=2.0,floor=1.0",76,0.9474,1,14,5.4286,0.9868,pass,3,1,0
doc-change-decade,doc_summary,"entropy_floor:tau=2.5,floor=0.75",76,0.9474,1,14,5.4286,0.9868,pass,3,1,0
doc-change-decade,doc_summary,"entropy_floor:tau=3.0,floor=0.5",76,0.9474,1,14,5.4286,0.9868,pass,3,1,0
doc-change-decade,doc_summary,"entropy_floor:tau=3.0,floor=1.0",76,0.9474,1,14,5.4286,0.9868,pass,3,1,0
doc-change-decade,doc_summary,"gated_entropy:tau=2.0,p_cut=0.8",76,0.9474,1,14,5.4286,0.9868,pass,3,1,0
doc-change-decade,doc_summary,"gated_entropy:tau=2.0,p_cut=0.9",76,0.9474,1,14,5.4286,0.9868,pass,3,1,0
doc-change-decade,doc_summary,"gated_entropy:tau=3.0,p_cut=0.9",76,0.9474,1,14,5.4286,0.9868,pass,3,1,0
doc-change-shrink-fraction,doc_summary,entropy_scaled:tau=1.75,75,0.9467,1,13,5.7692,0.9733,pass,3,1,0
doc-change-shrink-fraction,doc_summary,entropy_scaled:tau=2.0,75,0.9467,1,13,5.7692,0.9733,pass,3,1,0
doc-change-shrink-fraction,doc_summary,entropy_scaled:tau=2.25,75,0.9467,1,13,5.7692,0.9733,pass,3,1,0
doc-change-shrink-fraction,doc_summary,entropy_scaled:tau=2.5,75,0.9467,1,13,5.7692,0.9733,pass,3,1,0
doc-change-shrink-fraction,doc_summary,entropy_scaled:tau=2.75,75,0.9467,1,13,5.7692,0.9733,pass,3,1,0
doc-change-shrink-fraction,doc_summary,entropy_scaled:tau=3.0,75,0.9467,1,13,5.7692,0.9733,pass,3,1,0
doc-change-shrink-fraction,doc_summary,"entropy_floor:tau=2.0,floor=0.5",75,0.9467,1,13,5.7692,0.9733,pass,3,1,0
doc-change-shrink-fraction,doc_summary,"entropy_floor:tau=2.0,floor=1.0",75,0.9467,1,13,5.7692,0.9733,pass,3,1,0
doc-change-shrink-fraction,doc_summary,"entropy_floor:tau=2.5,floor=0.75",75,0.9467,1,13,5.7692,0.9733,pass,3,1,0
doc-change-shrink-fraction,doc_summary,"entropy_floor:tau=3.0,floor=0.5",75,0.9467,1,13,5.7692,0.9733,pass,3,1,0
doc-change-shrink-fraction,doc_summary,"entropy_floor:tau=3.0,floor=1.0",75,0.9467,1,13,5.7692,0.9733,pass,3,1,0
doc-change-shrink-fraction,doc_summary,"gated_entropy:tau=2.0,p_cut=0.8",75,0.9467,1,13,5.7692,0.9733,pass,3,1,0
doc-change-shrink-fraction,doc_summary,"gated_entropy:tau=2.0,p_cut=0.9",75,0.9467,1,13,5.7692,0.9733,pass,3,1,0
doc-change-shrink-fraction,doc_summary,"gated_entropy:tau=3.0,p_cut=0.9",75,0.9467,1,13,5.7692,0.9733,pass,3,1,0
fact-third-country-overtakes,fact_answer,entropy_scaled:tau=1.75,109,0.5688,5,70,1.5571,0.153,pass,11,7,0
fact-third-country-overtakes,fact_answer,entropy_scaled:tau=2.0,109,0.5688,5,70,1.5571,0.153,pass,11,7,0
fact-third-country-overtakes,fact_answer,entropy_scaled:tau=2.25,109,0.5688,5,70,1.5571,0.153,pass,11,7,0
fact-third-country-overtakes,fact_answer,entropy_scaled:tau=2.5,109,0.5688,5,70,1.5571,0.153,pass,11,7,0
