id,category,arm,repeat,wall_s,server_prompt_ms,server_predicted_ms,http_calls,scoring_calls,chunk_calls,wasted_tokens,tokens,held_fraction,divergences,correct,analytic_speedup
code-rename-var,code_review,baseline,2,3.5778,19.04,3558.03,1,0,0,0,225,,,pass,1.0
code-rename-var,code_review,"entropy_floor:tau=3.0,floor=1.0",2,5.5847,4699.13,706.89,19,10,9,0,275,0.8691,8,pass,3.125
code-introduce-bug,code_review,baseline,0,1.8004,18.73,1781.01,1,0,0,0,114,,,FAIL,1.0
code-introduce-bug,code_review,"entropy_floor:tau=3.0,floor=1.0",0,2.4976,866.72,1554.24,9,2,7,0,112,0.5536,3,FAIL,1.6471
code-introduce-bug,code_review,baseline,1,1.8043,18.88,1784.8,1,0,0,0,114,,,FAIL,1.0
code-introduce-bug,code_review,"entropy_floor:tau=3.0,floor=1.0",1,2.4791,858.95,1544.7,9,2,7,0,112,0.5536,3,FAIL,1.6471
code-introduce-bug,code_review,baseline,2,1.7877,18.51,1768.49,1,0,0,0,114,,,FAIL,1.0
code-introduce-bug,code_review,"entropy_floor:tau=3.0,floor=1.0",2,2.4802,859.13,1542.65,9,2,7,0,112,0.5536,3,FAIL,1.6471
code-add-guard,code_review,baseline,0,4.393,18.41,4373.8,1,0,0,0,279,,,pass,1.0
code-add-guard,code_review,"entropy_floor:tau=3.0,floor=1.0",0,5.3929,766.76,4514.29,13,2,11,0,234,0.094,3,pass,1.0493
code-add-guard,code_review,baseline,1,4.3975,18.84,4377.9,1,0,0,0,279,,,pass,1.0
code-add-guard,code_review,"entropy_floor:tau=3.0,floor=1.0",1,5.3984,768.61,4516.27,13,2,11,0,234,0.094,3,pass,1.0493
code-add-guard,code_review,baseline,2,4.4561,18.33,4437.08,1,0,0,0,279,,,pass,1.0
code-add-guard,code_review,"entropy_floor:tau=3.0,floor=1.0",2,5.4214,771.11,4538.4,13,2,11,0,234,0.094,3,pass,1.0493
code-reformat-whitespace,code_review,baseline,0,3.792,18.79,3772.57,1,0,0,0,238,,,pass,1.0
code-reformat-whitespace,code_review,"entropy_floor:tau=3.0,floor=1.0",0,3.819,1259.52,2439.76,14,4,10,0,152,0.3421,6,pass,1.1515
code-reformat-whitespace,code_review,baseline,1,3.7844,18.93,3764.84,1,0,0,0,238,,,pass,1.0
code-reformat-whitespace,code_review,"entropy_floor:tau=3.0,floor=1.0",1,3.8056,1253.51,2432.99,14,4,10,0,152,0.3421,6,pass,1.1515
code-reformat-whitespace,code_review,baseline,2,3.7857,19.32,3765.64,1,0,0,0,238,,,pass,1.0
code-reformat-whitespace,code_review,"entropy_floor:tau=3.0,floor=1.0",2,3.8122,1251.0,2442.49,14,4,10,0,152,0.3421,6,pass,1.1515
code-add-typehints,code_review,baseline,0,3.1585,18.56,3139.31,1,0,0,0,199,,,pass,1.0
code-add-typehints,code_review,"entropy_floor:tau=3.0,floor=1.0",0,1.3814,958.62,363.28,7,3,4,0,108,0.8148,3,pass,2.7
code-add-typehints,code_review,baseline,1,3.1664,18.72,3146.96,1,0,0,0,199,,,pass,1.0
code-add-typehints,code_review,"entropy_floor:tau=3.0,floor=1.0",1,1.3864,962.79,364.29,7,3,4,0,108,0.8148,3,pass,2.7
code-add-typehints,code_review,baseline,2,3.1625,18.75,3143.11,1,0,0,0,199,,,pass,1.0
code-add-typehints,code_review,"entropy_floor:tau=3.0,floor=1.0",2,1.3819,958.43,363.59,7,3,4,0,108,0.8148,3,pass,2.7
code-break-logic,code_review,baseline,0,2.6101,18.72,2590.7,1,0,0,0,164,,,FAIL,1.0
code-break-logic,code_review,"entropy_floor:tau=3.0,floor=1.0",0,4.7683,730.29,3934.9,12,2,10,0,191,0.0314,2,FAIL,1.0053
code-break-logic,code_review,baseline,1,2.615,19.21,2595.02,1,0,0,0,164,,,FAIL,1.0
code-break-logic,code_review,"entropy_floor:tau=3.0,floor=1.0",1,4.796,745.97,3944.81,12,2,10,0,191,0.0314,2,FAIL,1.0053
code-break-logic,code_review,baseline,2,2.615,18.44,2595.89,1,0,0,0,164,,,FAIL,1.0
code-break-logic,code_review,"entropy_floor:tau=3.0,floor=1.0",2,4.7697,726.76,3938.98,12,2,10,0,191,0.0314,2,FAIL,1.0053
doc-report-shift-quarter,doc_summary,baseline,0,0.8331,19.08,813.25,1,0,0,0,52,,,pass,1.0
doc-report-shift-quarter,doc_summary,"entropy_floor:tau=3.0,floor=1.0",0,0.7628,666.52,68.84,3,2,1,0,51,0.9216,1,pass,4.25
doc-report-shift-quarter,doc_summary,baseline,1,0.8329,18.69,813.45,1,0,0,0,52,,,pass,1.0
doc-report-shift-quarter,doc_summary,"entropy_floor:tau=3.0,floor=1.0",1,0.7662,670.01,68.79,3,2,1,0,51,0.9216,1,pass,4.25
doc-report-shift-quarter,doc_summary,baseline,2,0.8339,19.2,814.06,1,0,0,0,52,,,pass,1.0
doc-report-shift-quarter,doc_summary,"entropy_floor:tau=3.0,floor=1.0",2,0.7724,675.16,69.4,3,2,1,0,51,0.9216,1,pass,4.25
doc-report-swap-driver,doc_summary,baseline,0,0.8701,18.73,850.73,1,0,0,0,55,,,pass,1.0
doc-report-swap-driver,doc_summary,"entropy_floor:tau=3.0,floor=1.0",0,1.204,520.22,627.39,7,2,5,0,54,0.6111,2,pass,1.6364
doc-report-swap-driver,doc_summary,baseline,1,0.8659,18.52,846.65,1,0,0,0,55,,,pass,1.0
doc-report-swap-driver,doc_summary,"entropy_floor:tau=3.0,floor=1.0",1,1.2063,520.19,629.0,7,2,5,0,54,0.6111,2,pass,1.6364
doc-report-swap-driver,doc_summary,baseline,2,0.87,18.73,850.49,1,0,0,0,55,,,pass,1.0
doc-report-swap-driver,doc_summary,"entropy_floor:tau=3.0,floor=1.0",2,1.2091,522.63,629.53,7,2,5,0,54,0.6111,2,pass,1.6364
doc-table-budget-increase,doc_summary,baseline,0,0.2846,18.27,265.71,1,0,0,0,18,,,pass,1.0
doc-table-budget-increase,doc_summary,"entropy_floor:tau=3.0,floor=1.0",0,0.2783,185.5,69.06,3,2,1,0,17,0.7059,1,pass,1.5455
doc-table-budget-increase,doc_summary,baseline,1,0.2884,18.46,269.35,1,0,0,0,18,,,pass,1.0
doc-table-budget-increase,doc_summary,"entropy_floor:tau=3.0,floor=1.0",1,0.2756,183.87,68.11,3,2,1,0,17,0.7059,1,pass,1.5455
doc-table-budget-increase,doc_summary,baseline,2,0.287,18.52,267.77,1,0,0,0,18,,,pass,1.0
doc-table-budget-increase,doc_summary,"entropy_floor:tau=3.0,floor=1.0",2,0.2753,184.05,68.06,3,2,1,0,17,0.7059,1,pass,1.5455
doc-table-new-department,doc_summary,baseline,0,0.3965,18.73,377.05,1,0,0,0,25,,,pass,1.0
doc-table-new-department,doc_summary,"entropy_floor:tau=3.0,floor=1.0",0,0.6405,301.4,292.88,6,2,4,0,24,0.25,2,pass,1.0435
doc-table-new-department,doc_summary,baseline,1,0.3963,18.61,377.07,1,0,0,0,25,,,pass,1.0
doc-table-new-department,doc_summary,"entropy_floor:tau=3.0,floor=1.0",1,0.638,299.58,292.38,6,2,4,0,24,0.25,2,pass,1.0435
doc-table-new-department,doc_summary,baseline,2,0.395,18.45,375.91,1,0,0,0,25,,,pass,1.0
